gdetail_no,grade_no,gdetail_name,sort_no
100016463,10015787,"모던",
100015655,10016505,"모던플러스",
100015474,10016371,"럭셔리",
100016453,10017374,"스마트",
100015472,10015818,DLX,
100015104,10015843,"럭셔리",
100015173,10015848,"럭셔리",
100015703,10016538,"럭셔리",
100015481,10015924,"럭셔리",
100015482,10015925,"럭셔리",
100014723,10015585,GX,
100016454,10017374,"모던",
100014499,10006568,"3세대",
100015791,10013618,"현대",
100015463,10016360,"플러스",
100016514,10016571,"AMG 라인",
100014501,10006569,"2세대",
100015767,10016615,"모던",
100015475,10016372,"럭셔리",
100014351,10008886,SV,
100016519,10015291,"라이트",
100014302,10014692,4S,
100016485,10017402,"마이티",
100016486,10017403,"마이티",
100016487,10017404,"마이티",
100015476,10016373,"디럭스",
100014349,10008886,S,
100016523,10017542,"에어",
100014607,10008804,"9세대",
100010643,10008582,996,0
100011321,10007640,"프레스티지",0
100012331,10008160,"M 스포츠",0
100010743,10008337,S-LINE,0
100010748,10008342,"프리미엄",0
100007415,10006586,"에코부스트",0
100008923,10006598,SE,0
100008153,10006680,4WD,0
100013077,10006882,SWB,0
100011077,10006919,"프리미엄",0
100013313,10004741,"드림넷",0
100008578,10004874,"코치 SUPER",0
100010879,10007090,"프레스티지",0
100010308,10007100,"로드스터",0
100010859,10007188,"스포트",0
100012047,10007252,"Plus II",0
100010557,10007674,"모던",0
100010664,10008590,991,0
100010868,10010128,"7인",0
100011183,10011507,"프레스티지",0
100012049,10011694,Plus,0
100011482,10011984,"11인승",0
100007130,10003806,"기본형",0
100009722,10003993,"CLUB 4WD",0
100007364,10004149,"스위트",0
100013272,10013060,"RSH 5",0
100008653,10004149,"하이클래스",0
100011078,10006920,R,0
100010343,10007135,C-TECH,0
100010363,10007189,"디럭스",0
100010753,10008345,"스포츠",0
100007561,10004290,"큐리오",0
100009791,10004343,"LX 최고급형",0
100011325,10010698,"스포츠",0
100010937,10011058,"프리미엄 럭셔리",0
100010987,10011138,"프리미엄",0
100010988,10011146,PE,0
100012174,10011555,"기본형",0
100011507,10011997,"스마트",0
100011533,10012088,"7인",0
100013346,10004702,"고급형",0
100007748,10004822,DOHC,0
100007212,10004827,"기본형",0
100007466,10004831,"일반형",0
100008645,10004903,"프리미엄",0
100010538,10007627,"아반트",0
100010577,10007974,"14인승",0
100010581,10007975,"16인승",0
100010832,10008215,i,0
100010603,10008568,991,0
100010644,10008582,993,0
100010645,10008582,964,0
100012924,10008803,"유로",0
100010841,10009540,"F SPORT",0
100013672,10013901,"9인승",0
100013703,10013926,2WD,0
100008900,10004929,PREMIUM,0
100011962,10005019,"프리미엄",0
100007064,10005150,"고급형",0
100008374,10005158,"브라운스페셜",0
100009287,10005158,"프레스티지",0
